,ClonalityCatFinal,USDAGroup,USDAHabit,USDADuration,PollMode1,DispMode1,Genus,Species,Family,USDACode,WorZ_SppCode,seedmass_mg,dispmass_mg,n_seed_pop,leaf_height_cm,flwr_height_cm,n_height_pop,fresh_mass_g,dry_mass_g,n_leaf_pop,WI_native,WI_C,WI_W,MO_native,MO_C,MO_W,underground,jmclonal,WI_wet,MO_wet,sla,n_sla_pop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,ClonalPhl,Fern,Forb_herb,Perennial,Wind,Wind,Ophioglossum,engelmannii,Ophioglossaceae,OPEN,ZOPHENG,NA,NA,NA,3.9,7.2,1,2.27,0.43,1,NA,NA,NA,native,7,3,4,4,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,ClonalPhl,Dicot,Shrub,Perennial,NA,NA,Opuntia,Mill.,Cactaceae,OPUNT,ZOPUSPP,26.82193333,5415,1,12.33333333,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,NonClonal,Dicot,Forb_herb,Annual,Bee,Wind,Orobanche,uniflora,Orobanchaceae,ORUN,ZOROUNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,3,1,1,UPL,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Ballistic,Oxalis,dillenii,Oxalidaceae,OXDI2,ZOXADIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,0,3,4,NA,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Ballistic,Oxalis,violacea,Oxalidaceae,OXVI,ZOXAVIO,NA,NA,NA,9.2,14.2,1,1.765,0.175,1,NA,NA,NA,native,5,5,4,4,NA,NA,316.2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,NonClonal,Dicot,Forb_herb,Annual,Bee,Unassisted,Abutilon,theophrasti,Malvaceae,ABTH,WABUTHE,10.63853333,10.63853333,1,64.6,64.4,2,24.055,5.9075,2,non-native,0,3,NA,NA,NA,1,NA,FACU,UPL,192.6330679,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Achillea,millefolium,Asteraceae,ACMI2,WACHMIL,0.193438889,0.195061111,3,60.03333333,63.83333333,3,3.725,0.863333333,3,native,1,3,NA,NA,NA,4,NA,FACU,FACU,116.3162069,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,NonClonal,Dicot,Tree,Perennial,Wind,Wind,Acer,negundo,Aceraceae,ACNE2,WACENEG,41.4951,51.56053333,2,NA,NA,NA,13.94666667,3.866666667,3,native,0,0,NA,NA,NA,2,NA,FAC,FAC,205.7660913,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,NonClonal,Dicot,Tree,Perennial,Wind,Wind,Acer,saccharinum,Aceraceae,ACSA2,WACESAH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Tumbling,Agrostis,gigantea,Poaceae,AGGI2,WAGRGIG,NA,NA,NA,53.3,76.9,1,0.41,0.135,1,non-native,0,-3,NA,NA,NA,4,NA,FACW,FACW,198.562963,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,NonClonal,Dicot,Forb_herb,Annual,Bee,Wind,Agalinis,purpurea,Scrophulariaceae,AGPU5,WAGAPUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,-3,NA,NA,NA,1,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,NonClonal,Monocot,Forb_herb,Perennial,Bee,Unassisted,Allium,canadense,Liliaceae,ALCA3,WALLCAN,68.05533333,68.05533333,1,24.66,40.38666667,3,8.49,0.7,1,native,4,3,NA,NA,NA,3,NA,FACU,FACU,173.97,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,ClonalPhl,Monocot,Forb_herb,Perennial,Bee,Unassisted,Allium,cernuum,Liliaceae,ALCE2,WALLCER,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,3,NA,NA,NA,4,NA,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,NonClonal,Dicot,Forb_herb,AB,Bee,Unassisted,Alliaria,petiolata,Brassicaceae,ALPE4,WALLPET,1.922355556,1.922355556,3,56.8,63.95,3,3.566666667,0.486666667,3,non-native,0,0,NA,NA,NA,1,NA,FAC,FACU,436.0573496,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,NonClonal,Monocot,Forb_herb,Perennial,Bee,Unassisted,Allium,stellatum,Liliaceae,ALST,WALLSTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,9,5,NA,NA,NA,3,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,NonClonal,Dicot,Forb_herb,Annual,Wind,Unassisted,Ambrosia,artemisiifolia,Asteraceae,AMAR2,WAMBART,0.703966667,0.703966667,2,66.5,68.56666667,3,42.835,0.973333333,3,native,0,3,NA,NA,NA,1,NA,FACU,FACU,289.2506801,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,NonClonal,Dicot,Forb_herb,AP,Bee,Ballistic,Amphicarpaea,bracteata,Fabaceae,AMBR2,WAMPBRA,9.6441,71.79666667,3,66.6,64.2,1,4.72,1.07,3,native,5,0,NA,NA,NA,1,NA,FAC,FAC,483.588401,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,ClonalPhl,Dicot,Shrub,Perennial,Bee,Mammal,Amorpha,canescens,Fabaceae,AMCA6,WAMOCAN,1.391488889,2.127644444,3,62.43333333,70.1,3,2.511666667,1.003333333,3,native,7,5,NA,NA,NA,4,NA,NA,NA,167.2145304,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,ClonalGuer,Dicot,Forb_herb,AP,Wind,Unassisted,Ambrosia,psilostachya,Asteraceae,AMPS,WAMBPSI,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,2,3,NA,NA,NA,5,NA,FACU,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,NonClonal,Dicot,Forb_herb,Annual,Wind,Unassisted,Ambrosia,trifida,Asteraceae,AMTR,WAMBTRI,46,46,1,156.7666667,173.8666667,3,14.37666667,3.141666667,3,native,0,0,NA,NA,NA,1,NA,FAC,FAC,301.9198784,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Angelica,atropurpurea,Apiaceae,ANAT,WANGATR,4.017933333,4.726933333,2,127.075,185,2,460.1375,71.2925,2,native,6,-5,NA,NA,NA,3,NA,OBL,OBL,228.9745817,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Unassisted,Anemone,canadensis,Ranunculaceae,ANCA8,WANECAN,NA,NA,NA,30.1,41.1,2,8.09,1.9025,2,native,4,-3,NA,NA,NA,5,NA,FACW,FACW,171.4271712,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Unassisted,Anemone,cylindrica,Ranunculaceae,ANCY,WANECYL,0.588311111,0.8776,3,40.73333333,50.73333333,3,2.293333333,1.071666667,3,native,6,5,NA,NA,NA,5,NA,NA,NA,209.6185357,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Andropogon,gerardii,Poaceae,ANGE,WANDGER,0.930866667,1.656733333,2,137.1,158.8,3,4.066666667,1.358333333,3,native,4,0,NA,NA,NA,4,NA,FAC,FAC,153.5890507,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Ant,Anemone,quinquefolia,Ranunculaceae,ANQU,WANEQUI,NA,NA,NA,10.96,13.635,2,7.93,1.585,2,native,6,0,NA,NA,NA,5,NA,FAC,FACU,286.7624361,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,ClonalPhl,Dicot,NA,NA,Wind,NA,Antennaria,Gaertn.,Asteraceae,ANTEN,WANTSPP,0.056066667,0.096133333,1,11.275,17.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Unassisted,Anemone,virginiana,Ranunculaceae,ANVI3,WANEVIR,1.276266667,1.606066667,1,48.23333333,66.56666667,3,6.308333333,1.758333333,3,native,5,3,NA,NA,NA,5,NA,FACU,FACU,184.9538765,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Apios,americana,Fabaceae,APAM,WAPIAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,5,-3,NA,NA,NA,4,NA,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Apocynum,androsaemifolium,Apocynaceae,APAN2,WAPOAND,NA,NA,NA,84.78074074,86.21703704,3,2.791666667,0.913333333,3,native,2,5,NA,NA,NA,4,NA,UPL,FACU,183.3608779,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Wind,Apocynum,cannabinum,Apocynaceae,APCA,WAPOCAN,NA,NA,NA,95.6,93.28571429,3,2.641666667,0.866666667,3,native,3,0,NA,NA,NA,5,NA,FAC,FACU,161.7800621,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,NonClonal,Dicot,Forb_herb,Perennial,Bird,Unassisted,Aquilegia,canadensis,Ranunculaceae,AQCA,WAQUCAN,0.571266667,0.571266667,3,47.53333333,53.93333333,3,4.145,1.02,3,native,5,3,NA,NA,NA,2,NA,FACU,FAC,272.7535306,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Arnoglossum,atriplicifolium,Asteraceae,ARAT,WARNATR,NA,NA,NA,181.5,196,1,74.09,14.955,1,native,4,5,NA,NA,NA,3,NA,NA,NA,144.3043129,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,ClonalPhl,Dicot,Forb_herb,PB,Wind,Unassisted,Artemisia,campestris,Asteraceae,ARCA12,WARTCAM,NA,NA,NA,NA,NA,NA,5.5875,1,2,native,4,5,NA,NA,NA,4,NA,UPL,UPL,177.1928162,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,NonClonal,Dicot,Forb_herb,APB,Bee,Wind,Arabis,glabra,Brassicaceae,ARGL,WARAGLA,NA,0.071,1,46.84222222,64.87888889,3,2.015,0.32,3,native,5,5,NA,NA,NA,3,NA,NA,NA,293.7580963,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,NA,NA,NA,NA,NA,NA,Lysimachia,quadriflora,Primulaceae,NA,WLYSQRA,2.28525,8.476,1,42.2475,42.9675,4,0.355,0.106666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.1841163,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,ClonalPhl,Dicot,Forb_herb,Perennial,Wind,Unassisted,Artemisia,ludoviciana,Asteraceae,ARLU,WARTLUD,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,3,5,NA,NA,NA,4,NA,UPL,UPL,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,NonClonal,Dicot,Forb_herb,PB,Bee,Wind,Arabis,lyrata,Brassicaceae,ARLY2,WARALYR,0.059333333,0.059333333,1,9.944230769,22.20730769,2,0.298333333,0.056666667,3,native,4,3,NA,NA,NA,3,NA,FACU,FACU,205.5344444,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,NonClonal,Dicot,Forb_herb,Biennial,Bee,Adhesive,Arctium,minus,Asteraceae,ARMI2,WARCMIN,6.428644444,207.222,3,135.5166667,135.3,3,50.695,7.213333333,3,non-native,0,3,NA,NA,NA,1,NA,FACU,FACU,301.8385707,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Arnoglossum,plantagineum,Asteraceae,ARPL4,WARNPLA,2.710333333,2.8515,2,46.08571429,96.04285714,2,32.6875,5.2225,2,native,8,0,NA,NA,NA,3,NA,FAC,FACW,110.7142685,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,ClonalPhl,Dicot,Forb_herb,Perennial,Wind,Unassisted,Artemisia,serrata,Asteraceae,ARSE4,WARTSER,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,5,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,NonClonal,Monocot,Forb_herb,Perennial,Fly,Bird,Arisaema,triphyllum,Araceae,ARTR,WARITRI,64.05986667,288.7631667,2,60.49,37.86333333,3,34.33,2.33,1,native,5,-3,NA,NA,NA,3,NA,FACW,FACW,490.6587983,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,amplexicaulis,Asclepiadaceae,ASAM,WASCAMP,NA,NA,NA,47,59,1,9.265,1.515,1,native,8,5,NA,NA,NA,4,NA,NA,NA,224.6666667,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Astragalus,canadensis,Fabaceae,ASCA11,WASTCAN,NA,NA,NA,70.3,77.1,1,7.81,2.235,1,native,8,0,NA,NA,NA,4,NA,FAC,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,hirtella,Asclepiadaceae,ASHI,WASCHIR,NA,NA,NA,45.875,38.45,2,6.275,1.3225,2,native,7,5,NA,NA,NA,3,NA,NA,NA,105.8791444,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,incarnata,Asclepiadaceae,ASIN,WASCINC,5.474666667,6.369333333,1,102.7,103.5333333,3,6.123333333,1.396666667,3,native,5,-5,NA,NA,NA,3,NA,OBL,OBL,157.6755879,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,lanuginosa,Asclepiadaceae,ASLA3,WASCLAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,9,5,NA,NA,NA,3,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,ClonalPhl,Monocot,Forb_herb,Perennial,Bee,MammalBird,Asparagus,officinalis,Liliaceae,ASOF,WASPOFF,115.0880625,165.3889911,2,144.1131313,132.8232323,3,0.31625,0.0825,4,non-native,0,3,NA,NA,NA,4,NA,FACU,FACU,144.921978,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,ovalifolia,Asclepiadaceae,ASOV,WASCOVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,8,5,NA,NA,NA,3,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,purpurascens,Asclepiadaceae,ASPU2,WASCPUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,9,3,NA,NA,NA,3,NA,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,sullivantii,Asclepiadaceae,ASSU3,WASCSUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,8,5,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,syriaca,Asclepiadaceae,ASSY,WASCSYR,4.842733333,6.343,3,114.3333333,104.5333333,3,22.59166667,3.995,3,native,1,3,NA,NA,NA,4,NA,FACU,FACU,194.7706608,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,tuberosa,Asclepiadaceae,ASTU,WASCTUB,5.00725,8.43325,2,61.3,61.56666667,3,2.323333333,0.496666667,3,native,6,5,NA,NA,NA,3,NA,NA,NA,200.8063765,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,verticillata,Asclepiadaceae,ASVE,WASCVER,1.554289683,1.641597222,3,72.56666667,70.36666667,3,0.488333333,0.121666667,3,native,2,3,NA,NA,NA,4,NA,FACU,FACU,144.7737157,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,viridiflora,Asclepiadaceae,ASVI,WASCVIR,NA,NA,NA,34.83888889,26.04444444,3,6.473333333,1.336666667,3,native,9,5,NA,NA,NA,3,NA,NA,NA,124.1824289,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Aureolaria,grandiflora,Scrophulariaceae,AUGR,WAURGRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,8,5,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Tumbling,Baptisia,alba,Fabaceae,BAAL,WBAPALB,NA,NA,NA,94.05,121.25,2,3.3575,0.815,2,native,8,3,NA,NA,NA,4,NA,FACU,FACU,157.4845238,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Tumbling,Baptisia,bracteata,Fabaceae,BABR2,WBAPBRA,11.57540833,11.57540833,2,38.25,28.6,2,3.785,1.0075,2,native,7,5,NA,NA,NA,4,NA,NA,NA,152.9200071,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,NonClonal,Dicot,Forb_herb,Biennial,Bee,Unassisted,Barbarea,vulgaris,Brassicaceae,BAVU,WBARVUL,0.206,0.206,1,30.12222222,41.61111111,3,2.01,0.283333333,3,non-native,0,0,NA,NA,NA,1,NA,FAC,FACU,332.8188042,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Besseya,bullii,Scrophulariaceae,BEBU,WBESBUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,9,5,NA,NA,NA,2,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,NonClonal,Dicot,Forb_herb,APB,Bee,Unassisted,Berteroa,incana,Brassicaceae,BEIN2,WBERINC,0.413172947,1.0848,3,37.83333333,45.07777778,3,0.495,0.11375,4,non-native,0,5,NA,NA,NA,1,NA,NA,NA,198.3654244,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Blephilia,ciliata,Lamiaceae,BLCI,WBLECIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,5,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Bouteloua,curtipendula,Poaceae,BOCU,WBOUCUR,0.353444444,1.995333333,3,41.13333333,54.1,3,1.145,0.51,3,native,6,5,NA,NA,NA,4,NA,NA,NA,262.9042812,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Bouteloua,hirsuta,Poaceae,BOHI2,WBOUHIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,5,NA,NA,NA,4,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Brickellia,eupatorioides,Asteraceae,BREU,WBRIEUP,0.366711111,0.5416,3,78.93333333,83.23333333,3,1.6,0.38,3,native,5,5,NA,NA,NA,3,NA,NA,NA,149.1610501,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Bromus,inermis,Poaceae,BRIN2,WBROINE,3.835666667,4.556666667,2,77.05333333,112.86,3,2.451666667,0.693333333,3,non-native,0,3,NA,NA,NA,4,NA,FACU,UPL,217.4042051,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Bromus,kalmii,Poaceae,BRKA2,WBROKAL,2.3934,2.769533333,1,63,76.2,1,NA,NA,NA,native,8,0,NA,NA,NA,4,NA,FAC,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Carduus,acanthoides,Asteraceae,CAAC,WCARACA,0.588933333,1,1,114.8,120.6,2,11.29,1.5425,2,non-native,0,5,NA,NA,NA,1,NA,NA,NA,186.0016814,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Ballistic,Cardamine,bulbosa,Brassicaceae,CABU3,WCARBUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,-5,NA,NA,NA,4,NA,OBL,OBL,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,NonClonal,Dicot,Tree,Perennial,Wind,Wind,Acer,rubrum,Sapindaceae,ACRU,WACERUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,3,0,NA,NA,NA,2,NA,FAC,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
