,ClonalityCatFinal,USDAGroup,USDAHabit,USDADuration,PollMode1,DispMode1,Genus,Species,Family,USDACode,WorZ_SppCode,seedmass_mg,dispmass_mg,n_seed_pop,leaf_height_cm,flwr_height_cm,n_height_pop,fresh_mass_g,dry_mass_g,n_leaf_pop,WI_native,WI_C,WI_W,MO_native,MO_C,MO_W,underground,jmclonal,WI_wet,MO_wet,sla,n_sla_pop
16,NA,Dicot,NA,NA,NA,NA,Asclepias,L.,Asclepiadaceae,ASCLE,ZASCSPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,purpurascens,Asclepiadaceae,ASPU2,ZASCPUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,3,3,4,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,tuberosa,Asclepiadaceae,ASTU,ZASCTUB,1.94235,2.8034,2,50.6,52.4,1,2.07,0.5075,2,NA,NA,NA,native,5,5,3,4,NA,NA,170.0509436,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,verticillata,Asclepiadaceae,ASVE,ZASCVER,2.6034,NA,1,NA,NA,NA,0.58,0.12,1,NA,NA,NA,native,2,5,4,4,FACU,FACU,108.8333333,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,viridiflora,Asclepiadaceae,ASVI,ZASCVIR,0.888533333,NA,1,NA,NA,NA,1.7275,0.36,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,131.8592593,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Asclepias,viridis,Asclepiadaceae,ASVI2,ZASCVRS,3.3768,11.222625,2,31.66666667,30.93333333,1,8.055,1.5075,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,159.4337531,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Tumbling,Baptisia,alba,Fabaceae,BAAL,ZBAPALB,11.01343333,11.01343333,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,3,4,4,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Tumbling,Baptisia,australis,Fabaceae,BAAU,ZBAPAUS,14.49433333,14.49433333,2,47.55555556,47.11111111,1,3.9575,0.7275,2,NA,NA,NA,native,8,5,4,4,FACU,FACU,155.1271476,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Tumbling,Baptisia,bracteata,Fabaceae,BABR2,ZBAPBRA,NA,NA,NA,29.8,22.4,1,3.745,0.89,1,NA,NA,NA,native,7,5,4,4,NA,NA,135.6640449,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Blephilia,ciliata,Lamiaceae,BLCI,ZBLECIL,NA,NA,NA,32.6,30.5,1,1.12,0.255,1,NA,NA,NA,native,6,5,4,4,NA,NA,212.7921569,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Bouteloua,curtipendula,Poaceae,BOCU,ZBOUCUR,0.3972,0.7392,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,5,4,4,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Brickellia,eupatorioides,Asteraceae,BREU,ZBRIEUP,0.204,0.4078,1,NA,NA,NA,0.75,0.215,1,NA,NA,NA,NA,NA,NA,3,3,NA,NA,143.0697674,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NonClonal,Dicot,Forb_herb,APB,Butterfly,Wind,Buchnera,americana,Scrophulariaceae,BUAM,ZBUCAME,NA,NA,NA,26.375,42.375,1,0.5075,0.1075,2,NA,NA,NA,native,10,3,1,1,FAC,FACU,217.7036946,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Ant,Carex,albicans,Cyperaceae,CAAL25,ZCARALU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,UPL,UPL,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,NonClonal,Dicot,Forb_herb,Annual,Bird,Wind,Castilleja,coccinea,Scrophulariaceae,CACO17,ZCASCOC,0.053,0.053,1,26.8,35.7,1,0.5025,0.08,2,NA,NA,NA,native,6,0,1,1,FAC,FAC,240.7251012,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ClonalGuer,Monocot,Graminoid,Perennial,Wind,Unassisted,Carex,crawei,Cyperaceae,CACR3,ZCARCRA,0.952866667,1.4806,1,13.6,5,1,0.35,0.105,1,NA,NA,NA,NA,NA,NA,5,5,FACW,FACW,282.2952381,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Callirhoe,digitata,Malvaceae,CADI2,ZCALDIG,3.705733333,3.705733333,1,52.1,80.7,1,3.371666667,0.686666667,3,NA,NA,NA,native,8,5,NA,3,NA,NA,84.08547339,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Ant,Carex,granularis,Cyperaceae,CAGR3,WCARGRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,5,NA,NA,NA,NA,4,4,FACW,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Ant,Carex,hirsutella,Cyperaceae,CAHI6,ZCARHIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-native,0,3,4,4,NA,NA,NA,NA
