REM,Con,SF,,,,,,,,,,,
0,0.000257732,0.000141563,,,,,,,,,,,
0,0.000257732,0.000141563,,,,,,,,,,,
0,0.000257732,0.000141563,,,,,,,,,,,
0,0.000257732,0.000141563,,,,,,,,,,,
0,0.000257732,0.000141563,,,,,,,,,,,
0,0.000248655,9.43396E-05,,,,,,,,,,,
0,0.000239578,9.43396E-05,,,,,,,,,,,
0,0.000239578,0,,,,,,,,,,,
0,0.000193199,0,,,,,,,,,,,
0,0.000193199,0,,,,,,,,,,,
0,0.000193199,0,,,,,,,,,,,
0,0.000193199,0,,,,,,,,,,,
0,0.000193199,0,,,,,,,,,,,
0,0.000193199,0,,,,,,,,,,,
0,0.000128866,0,,,,,,,,,,,
0,0.000128866,0,,,,,,,,,,,
0,0.000128866,0,,,,,,,,,,,
0,0.000128866,0,,,,,,,,,,,
0,0.000128866,0,,,,,,,,,,,
0,0.000128866,0,,,,,,,,,,,
0,0.000119789,0,,,,,,,,,,,
0,0.000119789,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
0,0,0,,,,,,,,,,,
